id,text,label,is_test,clean_text,tokens
8932939,수OO만에 다시보네여,1,0,수OO만에 다시보네여,"[('만', 'Unknown'), ('다시', 'Noun'), ('에', 'Unknown'), ('보네여', 'Verb'), ('네여', 'Eomi'), ('보', 'Verb'), ('OO', 'Alpha'), ('만에', 'Josa'), ('수', 'Noun')]"
3681731,일방적인 영화다. 관객 좀 고려해주시길,0,0,일방적인 영화다 관객 좀 고려해주시길,"[('주', 'Unknown'), ('다', 'Josa'), ('해주시길', 'Verb'), ('좀', 'Noun'), ('일방', 'Noun'), ('적', 'Suffix'), ('기', 'Unknown'), ('시', 'Unknown'), ('인', 'Josa'), ('관객', 'Noun'), ('하', 'Unknown'), ('ᆫ', 'Unknown'), ('고려', 'Noun'), ('ᆯ', 'Unknown'), ('영화', 'Noun'), ('어', 'Unknown'), ('이', 'Unknown')]"
9847174,세상을 초월하는 한 사람의 선한 마음,1,0,세상을 초월하는 한 사람의 선한 마음,"[('마음', 'Noun'), ('선한', 'Adjective'), ('는', 'Unknown'), ('의', 'Josa'), ('을', 'Josa'), ('하는', 'Verb'), ('사람', 'Noun'), ('하', 'Unknown'), ('한', 'Verb'), ('ᆫ', 'Unknown'), ('선', 'Noun'), ('세상', 'Noun'), ('초월', 'Noun')]"
8506899,멍하다.. 여러생각이 겹치는데 오랜만에 영화 보고 이런 느낌 느껴본다,1,0,멍하다 여러생각이 겹치는데 오랜만에 영화 보고 이런 느낌 느껴본다,"[('오랜', 'Modifier'), ('는데', 'Unknown'), ('겹치', 'Verb'), ('느껴', 'Verb'), ('멍하', 'Adjective'), ('보', 'Unknown'), ('치는데', 'Verb'), ('본다', 'Verb'), ('에', 'Josa'), ('고', 'Unknown'), ('겹', 'Noun'), ('영화', 'Noun'), ('어', 'Unknown'), ('여러', 'Modifier'), ('느끼', 'Verb'), ('보고', 'Noun'), ('이런', 'Adjective'), ('느낌', 'Noun'), ('생각', 'Noun'), ('다', 'Eomi'), ('멍하다', 'Adjective'), ('만', 'Noun'), ('ᆫ다', 'Eomi'), ('이', 'Josa'), ('오랜만', 'Noun')]"
9991656,"우와 별 반개도 아까운판에 밑에 CJ 알바생들 쩐다.. 전부 만점이야 ㅎㅎㅎ..,. CJ야 그만해라 저영화는 정말 쓰레기다...원작에서 크게벋어났고 마치 메간폭스를 위해 스폰한 영화. 저걸보느니 투니버스봐라. 돈아깝고 시간아깝다.",0,0,우와 별 반개도 아까운판에 밑에 CJ 알바생들 쩐다 전부 만점이야 ㅎㅎㅎ CJ야 그만해라 저영화는 정말 쓰레기다원작에서 크게벋어났고 마치 메간폭스를 위해 스폰한 영화 저걸보느니 투니버스봐라 돈아깝고 시간아깝다,"[('도', 'Josa'), ('그만', 'Adverb'), ('이야', 'Josa'), ('에서', 'Josa'), ('벋', 'Unknown'), ('ᆯ', 'Unknown'), ('었', 'Unknown'), ('밑', 'Noun'), ('보', 'Verb'), ('그만해라', 'Adjective'), ('아깝다', 'Adjective'), ('우와', 'Exclamation'), ('는', 'Josa'), ('어라', 'Eomi'), ('보느니', 'Verb'), ('투니버스', 'Noun'), ('알바', 'Noun'), ('야', 'Exclamation'), ('쓰레기', 'Noun'), ('에', 'Josa'), ('저걸', 'Noun'), ('봐라', 'Verb'), ('고', 'Unknown'), ('아깝', 'Unknown'), ('ᆫ', 'Unknown'), ('반', 'Noun'), ('영화', 'Noun'), ('어', 'Unknown'), ('반개', 'Noun'), ('개', 'Unknown'), ('저', 'Determiner'), ('아까운', 'Adjective'), ('메간폭스', 'Noun'), ('저거', 'Unknown'), ('위해', 'Noun'), ('느니', 'Unknown'), ('생', 'Unknown'), ('메간 폭스', 'Noun'), ('ㅎㅎㅎ', 'KoreanParticle'), ('하', 'Unknown'), ('쩌', 'Noun'), ('쩐다', 'Noun'), ('알바생', 'Noun'), ('만점', 'Noun'), ('전부', 'Noun'), ('나', 'Unknown'), ('정말', 'Noun'), ('났고', 'Verb'), ('원작', 'Noun'), ('벋어', 'Verb'), ('돈', 'Noun'), ('아깝고', 'Adjective'), ('게', 'Unknown'), ('다', 'Josa'), ('마치', 'Noun'), ('CJ', 'Alpha'), ('시간', 'Noun'), ('판', 'Noun'), ('은', 'Unknown'), ('를', 'Josa'), ('별', 'Noun'), ('스폰', 'Noun'), ('한', 'Josa'), ('크게', 'Noun'), ('들', 'Suffix'), ('크', 'Adjective'), ('위하', 'Verb')]"
6093387,지금도 가끔 다시 본다,1,0,지금도 가끔 다시 본다,"[('도', 'Josa'), ('본다', 'Verb'), ('다시', 'Noun'), ('ᆫ다', 'Eomi'), ('보', 'Verb'), ('가끔', 'Noun'), ('지금', 'Noun')]"
10155375,재미있는 추리 영화인줄 알고 봤는데 아니네요. 스토리도 그닥 와닿지 않고 다른 분들이 극찬(?)하는 영상미도 감흥이 없었습니다. 오락영화가 아닙니다. 혹시 보실분들 참고하시기 바랍니다.,0,0,재미있는 추리 영화인줄 알고 봤는데 아니네요 스토리도 그닥 와닿지 않고 다른 분들이 극찬하는 영상미도 감흥이 없었습니다 오락영화가 아닙니다 혹시 보실분들 참고하시기 바랍니다,"[('감흥', 'Noun'), ('는데', 'Unknown'), ('도', 'Josa'), ('보실', 'Noun'), ('하시기', 'Verb'), ('분들', 'Suffix'), ('바라', 'Verb'), ('다른', 'Noun'), ('하는', 'Verb'), ('영상', 'Noun'), ('ᆯ', 'Unknown'), ('었', 'Unknown'), ('없', 'Adjective'), ('아닙니다', 'Adjective'), ('보', 'Verb'), ('참고', 'Noun'), ('스토리', 'Noun'), ('알', 'Noun'), ('는', 'Unknown'), ('추리', 'Noun'), ('아니', 'Unknown'), ('영상미', 'Noun'), ('않고', 'Verb'), ('기', 'Unknown'), ('가', 'Josa'), ('고', 'Josa'), ('바랍니다', 'Verb'), ('ᆫ', 'Unknown'), ('오', 'Verb'), ('와', 'Verb'), ('오락', 'Noun'), ('영화', 'Noun'), ('어', 'Unknown'), ('네요', 'Unknown'), ('아니네요', 'Adjective'), ('미도', 'Noun'), ('영화인', 'Noun'), ('혹시', 'Noun'), ('닿지', 'Verb'), ('그닥', 'Noun'), ('재미있', 'Adjective'), ('하', 'Unknown'), ('시', 'Unknown'), ('봤는데', 'Verb'), ('않', 'Unknown'), ('줄', 'Noun'), ('극찬', 'Noun'), ('재미있는', 'Adjective'), ('없었습니다', 'Adjective'), ('지', 'Unknown'), ('습니다', 'Eomi'), ('ᆸ니다', 'Eomi'), ('들', 'Suffix'), ('분', 'Noun'), ('이', 'Josa'), ('닿', 'Verb')]"
6265202,일본영화를 거의 처음 본 건데 정말 재밌게 봤습니다~! 강추 두둥!!,1,0,일본영화를 거의 처음 본 건데 정말 재밌게 봤습니다 강추 두둥,"[('거', 'Unknown'), ('ᆫ데', 'Unknown'), ('거의', 'Noun'), ('일본', 'Noun'), ('었', 'Unknown'), ('보', 'Verb'), ('재밌', 'Adjective'), ('두둥', 'Noun'), ('ᆫ', 'Unknown'), ('재밌게', 'Adjective'), ('봤습니다', 'Verb'), ('영화', 'Noun'), ('처음', 'Noun'), ('강추', 'Noun'), ('본', 'Verb'), ('일', 'Modifier'), ('정말', 'Noun'), ('게', 'Unknown'), ('습니다', 'Eomi'), ('를', 'Josa'), ('건데', 'Eomi'), ('이', 'Unknown')]"
5716851,결말이참 맘에든다. 넘 사랑스럽지만 이루어질 수 없는 로망스ㅜㅜ,1,0,결말이참 맘에든다 넘 사랑스럽지만 이루어질 수 없는 로망스ㅜㅜ,"[('참', 'Adverb'), ('이루어지', 'Verb'), ('ᆯ', 'Unknown'), ('없', 'Adjective'), ('수', 'Noun'), ('에든', 'Josa'), ('지만', 'Unknown'), ('는', 'Unknown'), ('에', 'Unknown'), ('넘', 'Verb'), ('없는', 'Adjective'), ('맘', 'Noun'), ('ㅜㅜ', 'KoreanParticle'), ('스럽', 'Unknown'), ('사랑스럽지만', 'Adjective'), ('이루어질', 'Verb'), ('결말', 'Noun'), ('이참', 'Noun'), ('사랑', 'Noun'), ('다', 'Adverb'), ('로망스', 'Noun'), ('ᆫ다', 'Eomi'), ('들', 'Verb'), ('이', 'Josa')]"
9891398,엇갈린 사랑 해보신 분들께 추천 합니다.,1,0,엇갈린 사랑 해보신 분들께 추천 합니다,"[('사랑', 'Noun'), ('께', 'Josa'), ('엇갈린', 'Verb'), ('합니다', 'Verb'), ('시', 'Unknown'), ('하', 'Unknown'), ('해보신', 'Verb'), ('ᆫ', 'Unknown'), ('보', 'Unknown'), ('ᆸ니다', 'Eomi'), ('들', 'Suffix'), ('분', 'Noun'), ('엇갈리', 'Verb'), ('어', 'Unknown'), ('추천', 'Noun')]"
